Name,pIC50,Training.Test
1-bis(4-fluorophenyl)methylpiperazine,5.796,Training
2-Hydroxymethyl-olanzapine,4.936,Training
4-4 difluorobenzophenone,4.143,Training
4-4 difluorobenzydrol,4.004,Training
5-(4-phenylbutoxy)psolaren,5.301,Training
5-Hydroxypropafenone,6.056,Training
9-hydroxy-risperidone,5.886,Training
Ajmaline ,5.983,Test
Alfuzosin,4.079,Training
Alosetron,5.495,Training
Alpha-acetylmethadol,5.523,Training
Ambasilide,5.444,Test
Amiodarone,7.155,Training
Amitriptyline,5.744,Training
Amsacrine,6.679,Training
Apomorphine,5.62,Training
Articaine,3.65,Training
Astemizole,8.886,Training
Azimilide,6.252,Training
Balofloxacin,3.67,Training
Benperidol,8.469,Training
Bepridil,7.585,Training
Bisindolylmaleimide,6,Training
BMCL_03_13_1829-1835_1,7.046,Training
BMCL_03_13_1829-1835_10,8.208,Training
BMCL_03_13_1829-1835_11_1,6.337,Training
BMCL_03_13_1829-1835_13_1,7.638,Training
BMCL_03_13_1829-1835_14,6.69,Training
BMCL_03_13_1829-1835_15,8,Training
BMCL_03_13_1829-1835_16,4.585,Test
BMCL_03_13_1829-1835_17,5.83,Test
BMCL_03_13_1829-1835_18_1,5.342,Training
BMCL_03_13_1829-1835_19,5.71,Training
BMCL_03_13_1829-1835_2,8,Training
BMCL_03_13_1829-1835_20,4.804,Training
BMCL_03_13_1829-1835_21_1,5.658,Test
BMCL_03_13_1829-1835_22,5.456,Test
BMCL_03_13_1829-1835_3,7.155,Training
BMCL_03_13_1829-1835_4,6.237,Training
BMCL_03_13_1829-1835_5,4.125,Training
BMCL_03_13_1829-1835_6,6.854,Training
BMCL_03_13_1829-1835_7,6.886,Training
BMCL_03_13_1829-1835_8,7.398,Training
BRL32872,7.699,Training
Brompheniramine,5.77,Training
Bupivacaine,4.658,Training
Buprenorphine,5.125,Training
Carbamazepine,3.6,Test
Carvedilol,6.292,Training
Chloroquine,5.602,Training
Chlorpheniramine,4.886,Training
Chlorpromazine,5.806,Test
Cibenzoline,5.432,Test
Ciprofloxacin,3.015,Training
Cisapride,7.62,Training
Citalopram,5.401,Test
CJ-033466,5.59,Test
Clebopride,6.208,Test
Clemastine,8,Training
Clomiphene,6.745,Test
Clotrimazole,5.444,Training
Clozapine,5.602,Test
Clozapine-N-oxide,3.875,Training
Cocaethylene,5.921,Training
Cocaine,5.357,Training
Codeine ,3.523,Training
Cyamemazine  ,6.328,Test
Demethyl-olanzapine,4.848,Training
Desbutyllumefantrine  ,5.26,Training
Desipramine,5.857,Training
Desloratadine ,5.2,Training
