Name,SMILES,pIC50,Reference
1-bis(4-fluorophenyl)methylpiperazine,Fc1ccc(cc1)C(N1CCNCC1)c1ccc(F)cc1,5.796,"(Munawar et al., 2019)"
2-Hydroxymethyl-olanzapine,CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(CO)cc12,4.936,"(Munawar et al., 2019)"
4-4 difluorobenzophenone,Fc1ccc(cc1)C(=O)c1ccc(F)cc1,4.143,"(Munawar et al., 2019)"
4-4 difluorobenzydrol,OC(c1ccc(F)cc1)c1ccc(F)cc1,4.004,"(Munawar et al., 2019)"
5-(4-phenylbutoxy)psolaren,O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1,5.301,"(Munawar et al., 2019)"
5-Hydroxypropafenone,CCCNCC(O)COC1=C(C=C(O)C=C1)C(=O)CCC1=CC=CC=C1,6.056,"(Munawar et al., 2019)"
9-hydroxy-risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1,5.886,"(Munawar et al., 2019)"
Ajmaline ,CCC6C3CC5C2N(C)c1ccccc1C24CC(C3C4O)N5C6O,5.983,"(Munawar et al., 2019)"
Alfuzosin,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,4.079,"(Munawar et al., 2019)"
Alosetron,Cc1[nH]cnc1CN1CCc2c(C1=O)c1ccccc1n2C,5.495,"(Munawar et al., 2019)"
Alpha-acetylmethadol,CC[C@@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,5.523,"(Munawar et al., 2019)"
Ambasilide,Nc1ccc(cc1)C(=O)N4CC2CC(CN(C2)Cc3ccccc3)C4,5.444,"(Munawar et al., 2019)"
Amiodarone,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,7.155,"(Munawar et al., 2019)"
Amitriptyline,CN(C)CC\C=C1\c2ccccc2CCc2ccccc12,5.744,"(Munawar et al., 2019)"
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,6.679,"(Munawar et al., 2019)"
Apomorphine,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34,5.62,"(Munawar et al., 2019)"
Articaine,CCCN[C@H](C)C(=O)Nc1c(C)csc1C(=O)OC,3.65,"(Munawar et al., 2019)"
Astemizole,COc1ccc(CCN2CCC(CC2)Nc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,8.886,"(Munawar et al., 2019)"
Azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,6.252,"(Munawar et al., 2019)"
Balofloxacin,CNC1CCCN(C1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,3.67,"(Munawar et al., 2019)"
Benperidol,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O,8.469,"(Munawar et al., 2019)"
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,7.585,"(Munawar et al., 2019)"
Bisindolylmaleimide,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,6,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_1,Clc1ccc2n(cc(C3CCN(CC3)CCN3CCNC3=O)c2c1)-c1ccccc1,7.046,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_10,Fc1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=S)c2ccccc12,8.208,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_11_1,CC(C)(O)c1ccc(cc1)[C@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,6.337,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_13_1,Fc1ccc(cc1)N1C[C@@H](C2CCN(CC2)CCN2CCNC2=O)c2ccccc12,7.638,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_14,Fc1ccc(cc1)-n1cc(C2CCNCC2)c2cc(Cl)ccc12,6.69,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_15,CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,8,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_16,CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4.585,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_17,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.83,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_18_1,C[C@@H](O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.342,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_19,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.71,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_2,Fc1ccc(cc1)-n1cc(C2=CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12,8,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_20,CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4.804,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_21_1,CC[C@@H](O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.658,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_22,CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.456,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_3,Fc1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2ccccc12,7.155,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_4,OC(=O)Cc1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2cc(Cl)ccc12,6.237,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_5,OC(=O)c1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2cc(Cl)ccc12,4.125,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_6,Clc1ccc2n(cc(C3CCN(CC3)CCN3CCNC3=O)c2c1)C1CCCCC1,6.854,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_7,COC(=O)Cc1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2cc(Cl)ccc12,6.886,"(Munawar et al., 2019)"
BMCL_03_13_1829-1835_8,COC(=O)c1ccc(cc1)-n1cc(C2CCN(CC2)CCN2CCNC2=O)c2cc(Cl)ccc12,7.398,"(Munawar et al., 2019)"
BRL32872,COc1c(cc(cc1)CCN(C)CCCN(C(=O)c1ccc(cc1)N(=O)=O)c1cc(c(cc1)OC)OC)OC,7.699,"(Munawar et al., 2019)"
Brompheniramine,CN(C)CC[C@H](c1ccc(Br)cc1)c1ccccn1,5.77,"(Munawar et al., 2019)"
Bupivacaine,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,4.658,"(Munawar et al., 2019)"
Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,5.125,"(Munawar et al., 2019)"
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc12,3.6,"(Munawar et al., 2019)"
Carvedilol,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,6.292,"(Munawar et al., 2019)"
Chloroquine,CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,5.602,"(Munawar et al., 2019)"
Chlorpheniramine,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,4.886,"(Munawar et al., 2019)"
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,5.806,"(Munawar et al., 2019)"
Cibenzoline,C1CN=C(N1)[C@@H]1CC1(c1ccccc1)c1ccccc1,5.432,"(Munawar et al., 2019)"
Ciprofloxacin,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3.015,"(Munawar et al., 2019)"
Cisapride,CO[C@H]1CN(CCCOc2ccc(F)cc2)CC[C@H]1NC(=O)c1cc(Cl)c(N)cc1OC,7.62,"(Munawar et al., 2019)"
Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,5.401,"(Munawar et al., 2019)"
CJ-033466,CC(C)CN1CCC(CC1)CNC(=O)c1cc(Cl)c(N)n2cc(C)nc12,5.59,"(Munawar et al., 2019)"
Clebopride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC1)Cc1ccccc1,6.208,"(Munawar et al., 2019)"
Clemastine,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,8,"(Munawar et al., 2019)"
Clomiphene,CCN(CC)CCOc1ccc(cc1)C(\c1ccccc1)=C(\Cl)c1ccccc1,6.745,"(Munawar et al., 2019)"
Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,5.444,"(Munawar et al., 2019)"
Clozapine,Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3,5.602,"(Munawar et al., 2019)"
Clozapine-N-oxide,CN1CCN(CC1)[C@H]1N(O)c2cc(Cl)ccc2Nc2ccccc12,3.875,"(Munawar et al., 2019)"
Cocaethylene,CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,5.921,"(Munawar et al., 2019)"
Cocaine,COC(=O)C1C(CC2CCC1N2C)OC(=O)c3ccccc3,5.357,"(Munawar et al., 2019)"
Codeine ,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,3.523,"(Munawar et al., 2019)"
Cyamemazine  ,C[C@@H](CN(C)C)CN1c2ccccc2Sc2ccc(cc12)C#N,6.328,"(Munawar et al., 2019)"
Demethyl-olanzapine,Cc1cc2=C(Nc3ccccc3N=c2s1)N1CCNCC1,4.848,"(Munawar et al., 2019)"
Desbutyllumefantrine  ,CCCCNC[C@@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1\C2=C/c1ccc(Cl)cc1,5.26,"(Munawar et al., 2019)"
Desipramine,CNCCCN1c2ccccc2CCc2ccccc12,5.857,"(Munawar et al., 2019)"
Desloratadine ,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,5.2,"(Munawar et al., 2019)"
Desloratin,Clc1ccc2c(CCc3cccnc3\C2=C2/CCNCC2)c1,5.347,"(Munawar et al., 2019)"
Desmethylastemizole,C1CN(CCC1NC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)CCC5=CC=C(C=C5)O,9,"(Munawar et al., 2019)"
Dexfenfluramine,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,3.27,"(Munawar et al., 2019)"
Diltiazem,COc1ccc(cc1)[C@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@H]1OC(C)=O,4.762,"(Munawar et al., 2019)"
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,5.585,"(Munawar et al., 2019)"
Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,8,"(Munawar et al., 2019)"
Dolasetron,O=C2CN1C3CC(CC1CC2C3)OC(=O)c4c[nH]c5ccccc45,5.225,"(Munawar et al., 2019)"
Domperidone,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2,7.244,"(Munawar et al., 2019)"
Doxazosin,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)[C@H]1COc2ccccc2O1,6.489,"(Munawar et al., 2019)"
Doxepin,CN(C)CCC=C2c1ccccc1COc3ccccc23,5.187,"(Munawar et al., 2019)"
Dronedarone,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,7.228,"(Munawar et al., 2019)"
Droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,7.492,"(Munawar et al., 2019)"
DW286,CON=C1CN(CC1(C)CN)c3cc2n(cc(C(O)=O)c(=O)c2cc3F)C4CC4,4.051,"(Munawar et al., 2019)"
E4031,Cc1cccc(CCN2CCC(CC2)C(=O)c2ccc(NS(C)(=O)=O)cc2)n1,7.959,"(Munawar et al., 2019)"
EDDP,CC=C1C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3,4.301,"(Munawar et al., 2019)"
EGCG,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1,5.222,"(Munawar et al., 2019)"
ER-118585,COc1ccc(CNc2nnc(N3CCC4(CC3)CC(O)C4)c3ccc(cc23)C#N)cc1Cl,7.398,"(Munawar et al., 2019)"
Fentanyl,CCC(=O)N(C1CCN(CC1)CCc1ccccc1)c1ccccc1,5.745,"(Munawar et al., 2019)"
Fexofenadine,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,4.186,"(Munawar et al., 2019)"
Flecainide,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NC[C@H]1CCCCN1,6.131,"(Munawar et al., 2019)"
Flunarizine,Fc1ccc(cc1)C(N1CCN(CC1)C\C=C\c1ccccc1)c1ccc(F)cc1,8.244,"(Munawar et al., 2019)"
Fluoxetine,CNCC[C@@H](Oc1ccc(cc1)C(F)(F)F)c1ccccc1,6.155,"(Munawar et al., 2019)"
Fluvoxamine,COCCCC\C(c1ccc(cc1)C(F)(F)F)=N/OCCN,5.42,"(Munawar et al., 2019)"
Gatifloxacin,COc1c(N2CCN[C@@H](C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,3.886,"(Munawar et al., 2019)"
Gbr-12909/ vanoxerine,Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1,9,"(Munawar et al., 2019)"
GF109203X/ bisindolylmaleimide I,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,5.928,"(Munawar et al., 2019)"
Glycerol-nonivamide,CCCCCCCCC(=O)NCc1ccc(C[C@H](O)CO)c(OC)c1,7,"(Munawar et al., 2019)"
Granisetron,CN1N=C(C(=O)NC2CC3CCCC(C2)N3C)C2=CC=CC=C12,5.428,"(Munawar et al., 2019)"
Grepafloxacin,C[C@H]1CN(CCN1)c1cc2n(cc(C(O)=O)c(=O)c2c(C)c1F)C1CC1,4.561,"(Munawar et al., 2019)"
Halofantrine,CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(ccc12)C(F)(F)F,7.666,"(Munawar et al., 2019)"
