Name,SMILES,pIC50,Reference,Dataset
2-hydroxymethylOLANZAPIN,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1,4.94,"Konda et al, 2019",1
AMBASILIDE,Nc1ccc(C(=O)N2C[C@@H]3C[C@@H](CN(Cc4ccccc4)C3)C2)cc1,5.44,"Konda et al, 2019",1
AMIODARONE,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,6,"Konda et al, 2019",1
AMITRIPTYLINE,CN(C)CCC=C1c2ccccc2CCc2ccccc21,5,"Konda et al, 2019",1
AMLODIPINE,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,5.7,"Konda et al, 2019",1
aprinidine,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,6.64,"Konda et al, 2019",1
ASTEMIZOLE,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,7.94,"Konda et al, 2019",1
ATROPINE,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,6.25,"Konda et al, 2019",1
AZIMILIDE,CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,5.85,"Konda et al, 2019",1
bekm-1,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,7.52,"Konda et al, 2019",1
benzoylecgonine,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,2.4,"Konda et al, 2019",1
BEPRIDIL,CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,6.26,"Konda et al, 2019",1
canrenoic,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC2(O)CCC(=O)O,3.98,"Konda et al, 2019",1
CARVEDILOL,COc1ccccc1OCCNCC(O)COC1=CC=CC2=Nc3ccccc3C12,4.98,"Konda et al, 2019",1
CETIRIZINE,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4.52,"Konda et al, 2019",1
CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,5.6,"Konda et al, 2019",1
CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,4.68,"Konda et al, 2019",1
CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.83,"Konda et al, 2019",1
cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,4.64,"Konda et al, 2019",1
CISAPRIDE,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CC[N@@](CCCOc2ccc(F)cc2)C[C@H]1OC,7.7,"Konda et al, 2019",1
CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.4,"Konda et al, 2019",1
CLARITHROMYCIN,CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O,4.23,"Konda et al, 2019",1
CLEMASTINE,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,7.92,"Konda et al, 2019",1
CLOMIPHENE,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,6.74,"Konda et al, 2019",1
CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,6.59,"Konda et al, 2019",1
CLOZAPINE_N_OXYDE,CN1CCN([C@@H]2c3ccccc3Nc3ccc(Cl)cc3N2O)CC1,3.88,"Konda et al, 2019",1
COCAETHYLENE,CCOC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,5.92,"Konda et al, 2019",1
COCAINE,COC(=O)[C@@H]1C(OC(=O)c2ccccc2)CC2CC[C@H]1[N@@]2C,5.14,"Konda et al, 2019",1
CODEINE,COc1ccc2c3c1O[C@H]1C(O)C=CC4C(C2)N(C)CC[C@@]341,3.52,"Konda et al, 2019",1
cyamemazin,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,6.06,"Konda et al, 2019",1
D600 (methoxyverapamil),COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,5.57,"Konda et al, 2019",1
D617(R=CH3),CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,4.52,"Konda et al, 2019",1
D620(R=H),COc1ccc(C(C#N)(CCCN)C(C)C)cc1OC,4.52,"Konda et al, 2019",1
DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,5.86,"Konda et al, 2019",1
DESLORATIDINE,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,5.35,"Konda et al, 2019",1
desmethyl_OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,4.85,"Konda et al, 2019",1
desmethylastemizole,Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,7.52,"Konda et al, 2019",1
DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,4.76,"Konda et al, 2019",1
DIPHENHYDRAMINE,CN(C)CCOC(c1ccccc1)c1ccccc1,4.57,"Konda et al, 2019",1
DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.04,"Konda et al, 2019",1
DOLASETRON,O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)C1=c2ccccc2=NC1,5.23,"Konda et al, 2019",1
ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,6.48,"Konda et al, 2019",1
ecgonine_methyl_ester,COC(=O)C1C(O)CC2CCC1N2C,2.22,"Konda et al, 2019",1
EGIS7229,COc1ccc(CCN(C)CCCNc2c(Cl)cn[nH]c2=O)cc1OC,5.18,"Konda et al, 2019",1
EPINASTINE,NC1=NCC2c3ccccc3Cc3ccccc3N12,3.78,"Konda et al, 2019",1
erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,4.14,"Konda et al, 2019",1
N-DEMETHYL-ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,3.83,"Konda et al, 2019",1
FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,5.74,"Konda et al, 2019",1
FLECAINIDE,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,5.41,"Konda et al, 2019",1
FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.34,"Konda et al, 2019",1
FLUSPIRILENE,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,8.52,"Konda et al, 2019",1
FLUVOXAMINE,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,5.42,"Konda et al, 2019",1
gbr-12909,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,9,"Konda et al, 2019",1
GRANISETRON,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,5.43,"Konda et al, 2019",1
H345_32,CC(C)(C)OC(=O)N1CCC2CN(CC(O)COc3ccc(C#N)cc3)CC(C1)O2,7.05,"Konda et al, 2019",1
HALOFANTRINE,CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,7.51,"Konda et al, 2019",1
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,7.72,"Konda et al, 2019",1
IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,5.47,"Konda et al, 2019",1
IQB-9302,Cc1cccc(C)c1NC(=O)C1CCCCN1CC1CC1,4.7,"Konda et al, 2019",1
isobutylmethylxanthine,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,5,"Konda et al, 2019",1
josamycin,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.99,"Konda et al, 2019",1
KETANSERIN,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,6.97,"Konda et al, 2019",1
LAAM,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,5.66,"Konda et al, 2019",1
LEVOFLOXACIN,C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,3.04,"Konda et al, 2019",1
LIDOFLAZINE,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,7.8,"Konda et al, 2019",1
LOSARTAN,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2C2=NNNN2)cc1,5.11,"Konda et al, 2019",1
lumefantrine,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1C2=Cc1ccc(Cl)cc1,5.09,"Konda et al, 2019",1
maprotiline,CNCCCC12CCC(c3ccccc31)c1ccccc12,5.51,"Konda et al, 2019",1
MDL_74156,O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,4.92,"Konda et al, 2019",1
MEFLOQUINE,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,5.59,"Konda et al, 2019",1
METHADONE,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,5.01,"Konda et al, 2019",1
Methylecgonidine,COC(=O)C1=CCC2CCC1N2C,3.77,"Konda et al, 2019",1
METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,5.27,"Konda et al, 2019",1
MIBEFRADIL,COCC(=O)O[C@@]1(CC[N@@](C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@H]1C(C)C,5.84,"Konda et al, 2019",1
MIZOLASTINE,O=c1ccnc(NCC2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)[nH]1,6.36,"Konda et al, 2019",1
MORPHINE,CN1CCC23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3C1C5,3,"Konda et al, 2019",1
MOSAPRIDE,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,5.11,"Konda et al, 2019",1
N_demethylHALOFANTRINE,NCC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,6.15,"Konda et al, 2019",1
N-desmethylerythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3.83,"Konda et al, 2019",1
NELFINAVIR,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,4.94,"Konda et al, 2019",1
NICOTINE,CN1CCCC1c1cccnc1,3.61,"Konda et al, 2019",1
NORASTEMIZOLE,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,7.55,"Konda et al, 2019",1
NORCLOZAPINE,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,5.35,"Konda et al, 2019",1
norpropoxyphene,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CNC,5.44,"Konda et al, 2019",1
norverapamil,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.5,"Konda et al, 2019",1
OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2.85,"Konda et al, 2019",1
OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,6.74,"Konda et al, 2019",1
oleandomycin,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O,3.51,"Konda et al, 2019",1
OPC18790,COc1ccc(CNCC(O)COc2ccc3[nH]c(=O)ccc3c2)cc1OC,6.02,"Konda et al, 2019",1
OXYBUTYNIN,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4.6,"Konda et al, 2019",1
PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4c3C(C=N4)C[C@H]21,6.92,"Konda et al, 2019",1
PERHEXILENE,C1CCC(C(C[C@@H]2CCCCN2)C2CCCCC2)CC1,5.11,"Konda et al, 2019",1
PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.62,"Konda et al, 2019",1
pilsicainide,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,4.69,"Konda et al, 2019",1
PRENYLAMINE,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,6.3,"Konda et al, 2019",1
PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.65,"Konda et al, 2019",1
PROPAFENONE,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.36,"Konda et al, 2019",1
